epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.896,1.4983,1.7144,1.48482,0.65935,0.41994,0.43558,0.23414,1.57715,1.95581,1.65084,0.00066613,0.00066613,0.0673596
2,488.838,1.4468,1.52773,1.46012,0.59712,0.49055,0.48828,0.27666,1.48977,1.59736,1.57525,0.0013196,0.0013196,0.0346798
3,728.205,1.38216,1.394,1.41866,0.70688,0.54385,0.57649,0.33669,1.38538,1.31994,1.47388,0.00195987,0.00195987,0.00198671
4,965.619,1.32142,1.28903,1.37553,0.7169,0.5681,0.61363,0.36472,1.33831,1.19671,1.44758,0.0019406,0.0019406,0.0019406
5,1203.78,1.27858,1.1992,1.35085,0.70914,0.56613,0.59832,0.36252,1.32129,1.21094,1.45955,0.0019208,0.0019208,0.0019208
6,1441.75,1.24807,1.13331,1.32418,0.78745,0.60514,0.65119,0.4026,1.23497,1.05411,1.3774,0.001901,0.001901,0.001901
7,1679.32,1.21451,1.09225,1.30421,0.80411,0.60229,0.6566,0.40838,1.22446,1.00669,1.35761,0.0018812,0.0018812,0.0018812
8,1918.24,1.20686,1.05681,1.29341,0.82402,0.62752,0.69127,0.42953,1.21678,0.97804,1.35668,0.0018614,0.0018614,0.0018614
9,2166.62,1.17645,1.01774,1.27938,0.83965,0.64386,0.70751,0.44508,1.18278,0.94042,1.32418,0.0018416,0.0018416,0.0018416
10,2431.29,1.15596,0.9948,1.26749,0.81262,0.6488,0.6891,0.44025,1.16462,0.92299,1.31202,0.0018218,0.0018218,0.0018218
11,2672.14,1.13918,0.97173,1.25286,0.81894,0.66792,0.72023,0.45383,1.16421,0.89385,1.31705,0.001802,0.001802,0.001802
12,2925.59,1.13462,0.95052,1.25331,0.82546,0.65534,0.70371,0.45334,1.14155,0.88064,1.2896,0.0017822,0.0017822,0.0017822
13,3163.31,1.12001,0.93029,1.24065,0.8319,0.67492,0.71801,0.46116,1.12721,0.84257,1.27331,0.0017624,0.0017624,0.0017624
14,3401.31,1.10982,0.9147,1.23359,0.85957,0.66106,0.71778,0.46544,1.12339,0.8391,1.27724,0.0017426,0.0017426,0.0017426
15,3639.7,1.10055,0.895,1.23029,0.84981,0.66044,0.72742,0.47615,1.11528,0.82059,1.26855,0.0017228,0.0017228,0.0017228
16,3877.65,1.09368,0.88324,1.22329,0.86123,0.66921,0.74326,0.48014,1.10266,0.79872,1.26093,0.001703,0.001703,0.001703
17,4116.26,1.08025,0.86705,1.21617,0.83841,0.66661,0.72526,0.47193,1.10464,0.80531,1.26258,0.0016832,0.0016832,0.0016832
18,4354.76,1.07807,0.86256,1.2113,0.84544,0.6778,0.73331,0.4823,1.09274,0.78342,1.25762,0.0016634,0.0016634,0.0016634
19,4593.17,1.07313,0.83771,1.20443,0.79692,0.70786,0.75504,0.49176,1.09054,0.77186,1.2449,0.0016436,0.0016436,0.0016436
20,4831.47,1.0618,0.84078,1.20555,0.8551,0.69299,0.74853,0.49057,1.07449,0.75003,1.23198,0.0016238,0.0016238,0.0016238
21,5091.35,1.0579,0.82775,1.20092,0.87404,0.68721,0.75562,0.50261,1.06569,0.74629,1.22666,0.001604,0.001604,0.001604
