epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,248.061,0.92054,0.63637,1.10985,0.79759,0.80182,0.83605,0.56564,0.9689,0.58655,1.14667,0.0010496,0.0010496,0.0010496
50,508.898,0.92158,0.64147,1.10929,0.82257,0.79386,0.84301,0.5696,0.96866,0.58684,1.14635,0.0010298,0.0010298,0.0010298
51,746.809,0.92029,0.6364,1.11166,0.86703,0.77428,0.84269,0.5734,0.96292,0.58612,1.14169,0.00101,0.00101,0.00101
52,984.187,0.91394,0.63133,1.10462,0.84974,0.78474,0.84679,0.58036,0.96164,0.58396,1.13921,0.0009902,0.0009902,0.0009902
53,1223.15,0.91077,0.62357,1.10458,0.84746,0.78515,0.84419,0.57551,0.96146,0.57882,1.14092,0.0009704,0.0009704,0.0009704
54,1467.28,0.90909,0.61703,1.10322,0.8596,0.76859,0.84587,0.5778,0.96102,0.57437,1.13958,0.0009506,0.0009506,0.0009506
55,1705.91,0.90085,0.61889,1.1005,0.8512,0.77747,0.8408,0.57651,0.96126,0.57512,1.14272,0.0009308,0.0009308,0.0009308
56,1948.78,0.90808,0.61215,1.09885,0.85128,0.78776,0.84221,0.57418,0.96445,0.57389,1.1447,0.000911,0.000911,0.000911
57,2188.36,0.90565,0.60847,1.10095,0.8817,0.76314,0.84181,0.57415,0.96271,0.57275,1.1436,0.0008912,0.0008912,0.0008912
58,2427.59,0.89403,0.6022,1.09361,0.84656,0.78839,0.84441,0.57758,0.95867,0.57465,1.1399,0.0008714,0.0008714,0.0008714
59,2670.85,0.88835,0.59834,1.08957,0.85657,0.79383,0.85318,0.58504,0.954,0.57029,1.13495,0.0008516,0.0008516,0.0008516
60,2910.43,0.89084,0.59878,1.0944,0.83973,0.79986,0.85109,0.58689,0.95472,0.56593,1.13627,0.0008318,0.0008318,0.0008318
61,3147.25,0.88636,0.59246,1.08998,0.84308,0.79128,0.84814,0.58405,0.95384,0.56605,1.13741,0.000812,0.000812,0.000812
62,3384.95,0.87893,0.58521,1.08492,0.83979,0.79735,0.84815,0.58448,0.95408,0.5664,1.13718,0.0007922,0.0007922,0.0007922
63,3638.83,0.87685,0.57871,1.08766,0.84642,0.80321,0.85742,0.58651,0.95308,0.5633,1.1359,0.0007724,0.0007724,0.0007724
64,3882.47,0.87675,0.58134,1.08481,0.8781,0.78935,0.85872,0.58935,0.95054,0.56147,1.13587,0.0007526,0.0007526,0.0007526
65,4127.03,0.8699,0.57562,1.07969,0.83877,0.81882,0.86112,0.59185,0.94937,0.56031,1.13408,0.0007328,0.0007328,0.0007328
66,4364.17,0.86868,0.57556,1.0782,0.84686,0.82175,0.86381,0.59348,0.94748,0.5589,1.13165,0.000713,0.000713,0.000713
67,4601.55,0.87143,0.56544,1.07847,0.88398,0.80888,0.86787,0.59374,0.94646,0.55754,1.13117,0.0006932,0.0006932,0.0006932
68,4853.79,0.85962,0.56526,1.07955,0.86807,0.81245,0.86483,0.59352,0.94477,0.55638,1.12973,0.0006734,0.0006734,0.0006734
69,5095.97,0.85647,0.56138,1.07689,0.90044,0.7989,0.86306,0.59301,0.94434,0.55567,1.12952,0.0006536,0.0006536,0.0006536
70,5335.18,0.85535,0.55363,1.07005,0.88416,0.80177,0.86456,0.59315,0.94333,0.55525,1.12824,0.0006338,0.0006338,0.0006338
